method,offline_training_type,offline_training_hours_estimated,offline_note
LLMATCH,LLM/precomputed outputs; training not logged,,No model training duration found; costs may include external LLM/precomputed stage depending on original run.
MetaSpace,Trained in evaluation protocol,0.0,RF training cost is already amortized in MetaSpace runtime estimate; feature construction included.
SMUTF,Pretrained/preliminary training not logged,,Local logs show sentence-transformer loading and prediction runtime; no separate SMUTF training/pretraining duration found.
MagnetoFTGPT,Estimated offline fine-tuning,85.12668550112292,Magneto FT checkpoints are category-specific; estimate uses 5 categories x measured CPU extrapolation per MPNet checkpoint.
MagnetoFT,Estimated offline fine-tuning,85.12668550112292,Magneto FT checkpoints are category-specific; estimate uses 5 categories x measured CPU extrapolation per MPNet checkpoint.
MagnetoGPT,Pretrained model / no FT in run,0.0,Uses default pretrained MPNet; no FT training in local logs.
Magneto,Pretrained model / no FT in run,0.0,Uses default pretrained MPNet; no FT training in local logs.
ISResMat,No offline training logged,0.0,No separate preliminary training found in current local logs.
COMA++,No offline training logged,0.0,No separate preliminary training found in current local logs.
COMA Instance,No offline training logged,0.0,No separate preliminary training found in current local logs.
COMA,No offline training logged,0.0,No separate preliminary training found in current local logs.
Similarity Flooding,No offline training logged,0.0,No separate preliminary training found in current local logs.
Distribution Based,No offline training logged,0.0,No separate preliminary training found in current local logs.
Cupid,No offline training logged,0.0,No separate preliminary training found in current local logs.
